ds,Nuclear_indisponibility
299,2012-10-26,0.0
300,2012-10-27,0.0
301,2012-10-28,0.0
302,2012-10-29,0.0
303,2012-10-30,0.0
304,2012-10-31,0.0
305,2012-11-01,0.0
306,2012-11-02,0.0
307,2012-11-03,1310.0
308,2012-11-04,0.0
309,2012-11-05,0.0
310,2012-11-06,0.0
311,2012-11-07,1330.0
312,2012-11-08,1330.0
313,2012-11-09,1330.0
314,2012-11-10,1330.0
315,2012-11-11,1330.0
316,2012-11-12,1330.0
317,2012-11-13,0.0
318,2012-11-14,910.0
319,2012-11-15,910.0
320,2012-11-16,1330.0
321,2012-11-17,0.0
322,2012-11-18,0.0
323,2012-11-19,0.0
324,2012-11-20,0.0
325,2012-11-21,0.0
326,2012-11-22,0.0
327,2012-11-23,0.0
328,2012-11-24,1330.0
329,2012-11-25,0.0
330,2012-11-26,1330.0
331,2012-11-27,0.0
332,2012-11-28,0.0
333,2012-11-29,0.0
334,2012-11-30,0.0
335,2012-12-01,1330.0
336,2012-12-02,1330.0
337,2012-12-03,0.0
338,2012-12-04,0.0
339,2012-12-05,0.0
340,2012-12-06,0.0
341,2012-12-07,910.0
342,2012-12-08,905.0
343,2012-12-09,0.0
344,2012-12-10,0.0
345,2012-12-11,0.0
346,2012-12-12,0.0
347,2012-12-13,0.0
348,2012-12-14,0.0
349,2012-12-15,0.0
350,2012-12-16,0.0
351,2012-12-17,0.0
352,2012-12-18,0.0
353,2012-12-19,1330.0
354,2012-12-20,0.0
355,2012-12-21,1195.0
356,2012-12-22,165.0
357,2012-12-23,165.0
358,2012-12-24,470.0
359,2012-12-25,165.0
360,2012-12-26,0.0
361,2012-12-27,0.0
362,2012-12-28,0.0
363,2012-12-29,0.0
364,2012-12-30,845.0
365,2012-12-31,0.0
366,2013-01-01,457.0
367,2013-01-02,915.0
368,2013-01-03,0.0
369,2013-01-04,0.0
370,2013-01-05,0.0
371,2013-01-06,640.0
372,2013-01-07,1530.0
373,2013-01-08,0.0
374,2013-01-09,0.0
375,2013-01-10,0.0
376,2013-01-11,0.0
377,2013-01-12,0.0
378,2013-01-13,0.0
379,2013-01-14,0.0
380,2013-01-15,0.0
381,2013-01-16,1495.0
382,2013-01-17,335.0
383,2013-01-18,335.0
384,2013-01-19,0.0
385,2013-01-20,910.0
386,2013-01-21,1355.0
387,2013-01-22,910.0
388,2013-01-23,910.0
389,2013-01-24,910.0
390,2013-01-25,0.0
391,2013-01-26,405.0
392,2013-01-27,1335.0
393,2013-01-28,1335.0
394,2013-01-29,0.0
395,2013-01-30,1820.0
396,2013-01-31,0.0
397,2013-02-01,1300.0
398,2013-02-02,1300.0
399,2013-02-03,1335.0
400,2013-02-04,1335.0
401,2013-02-05,1335.0
402,2013-02-06,980.0
403,2013-02-07,1119.0
404,2013-02-08,0.0
405,2013-02-09,0.0
406,2013-02-10,0.0
407,2013-02-11,0.0
408,2013-02-12,565.0
409,2013-02-13,0.0
410,2013-02-14,0.0
411,2013-02-15,0.0
412,2013-02-16,0.0
413,2013-02-17,0.0
414,2013-02-18,0.0
415,2013-02-19,0.0
416,2013-02-20,0.0
417,2013-02-21,0.0
418,2013-02-22,350.0
419,2013-02-23,0.0
420,2013-02-24,0.0
421,2013-02-25,1300.0
422,2013-02-26,0.0
423,2013-02-27,0.0
424,2013-02-28,915.0
425,2013-03-01,915.0
426,2013-03-02,915.0
427,2013-03-03,915.0
428,2013-03-04,1525.0
429,2013-03-05,915.0
430,2013-03-06,915.0
431,2013-03-07,1777.0
432,2013-03-08,880.0
433,2013-03-09,4595.0
434,2013-03-10,0.0
435,2013-03-11,0.0
436,2013-03-12,410.0
437,2013-03-13,0.0
438,2013-03-14,1310.0
439,2013-03-15,1330.0
440,2013-03-16,400.0
441,2013-03-17,0.0
442,2013-03-18,0.0
443,2013-03-19,0.0
444,2013-03-20,0.0
445,2013-03-21,1310.0
446,2013-03-22,2225.0
447,2013-03-23,2715.0
448,2013-03-24,2735.0
449,2013-03-25,3015.0
450,2013-03-26,1825.0
451,2013-03-27,910.0
452,2013-03-28,910.0
453,2013-03-29,1410.0
454,2013-03-30,910.0
455,2013-03-31,0.0
456,2013-04-01,0.0
457,2013-04-02,0.0
458,2013-04-03,0.0
459,2013-04-04,0.0
460,2013-04-05,0.0
461,2013-04-06,0.0
462,2013-04-07,0.0
463,2013-04-08,0.0
464,2013-04-09,0.0
465,2013-04-10,0.0
466,2013-04-11,0.0
467,2013-04-12,0.0
468,2013-04-13,0.0
469,2013-04-14,1335.0
470,2013-04-15,0.0
471,2013-04-16,0.0
472,2013-04-17,0.0
473,2013-04-18,0.0
474,2013-04-19,0.0
475,2013-04-20,0.0
476,2013-04-21,0.0
477,2013-04-22,0.0
478,2013-04-23,0.0
479,2013-04-24,445.0
480,2013-04-25,445.0
481,2013-04-26,445.0
482,2013-04-27,905.0
483,2013-04-28,0.0
484,2013-04-29,0.0
485,2013-04-30,0.0
486,2013-05-01,0.0
487,2013-05-02,890.0
488,2013-05-03,890.0
489,2013-05-04,890.0
490,2013-05-05,0.0
491,2013-05-06,0.0
492,2013-05-07,0.0
