"Date"	"MaxTemperature	"MinTemperature	"Month"	"WeekDay"	"is_WeekDay"	"Holiday"	"Index"
2015-04-09 00:00:00	19.80285714285714	4.194285714285715	4	3	1	Day
2015-04-10 00:00:00	19.622857142857143	6.085714285714286	4	4	1	Day
2015-04-11 00:00:00	15.422857142857145	7.8742857142857146	4	5	0	Day
2015-04-12 00:00:00	19.274285714285714	6.137142857142856	4	6	0	Day
2015-04-13 00:00:00	21.119999999999997	7.054285714285714	4	0	1	Day
2015-04-14 00:00:00	23.922857142857143	8.634285714285712	4	1	1	Day
2015-04-15 00:00:00	24.454285714285714	8.937142857142858	4	2	1	Day
2015-04-16 00:00:00	19.905714285714282	11.288571428571428	4	3	1	Day
2015-04-17 00:00:00	16.194285714285716	10.378571428571426	4	4	1	Day
2015-04-18 00:00:00	17.017142857142858	8.659999999999998	4	5	0	Day
2015-04-19 00:00:00	15.079999999999998	7.142857142857143	4	6	0	Day
2015-04-20 00:00:00	19.182857142857145	6.885714285714286	4	0	1	Day
2015-04-21 00:00:00	21.271428571428576	7.188571428571429	4	1	1	Day
2015-04-22 00:00:00	20.517142857142858	8.03142857142857	4	2	1	Day
2015-04-23 00:00:00	19.84	8.362857142857143	4	3	1	Day
2015-04-24 00:00:00	19.87142857142857	8.208571428571426	4	4	1	Day
2015-04-25 00:00:00	17.228571428571428	12.238571428571428	4	5	0	Day
2015-04-26 00:00:00	17.08857142857143	11.44	4	6	0	Day
2015-04-27 00:00:00	13.782857142857141	8.248571428571429	4	0	1	Day
2015-04-28 00:00:00	13.911428571428571	6.284285714285715	4	1	1	Day
2015-04-29 00:00:00	15.597142857142856	4.814285714285714	4	2	1	Day
2015-04-30 00:00:00	15.514285714285714	7.454285714285714	4	3	1	Day
2015-05-01 00:00:00	14.17142857142857	10.700000000000001	5	4	1	Holiday
2015-05-02 00:00:00	17.1	11.225714285714286	5	5	0	Day
2015-05-03 00:00:00	19.245714285714286	13.800000000000002	5	6	0	Day
2015-05-04 00:00:00	19.948571428571427	13.388571428571428	5	0	1	Day
2015-05-05 00:00:00	18.60857142857143	11.897142857142859	5	1	1	Day
2015-05-06 00:00:00	18.279999999999998	10.010000000000002	5	2	1	Day
2015-05-07 00:00:00	18.60285714285714	8.334285714285716	5	3	1	Day
2015-05-08 00:00:00	19.02	10.114285714285714	5	4	1	Holiday
2015-05-09 00:00:00	20.4	12.81857142857143	5	5	0	Day
2015-05-10 00:00:00	23.64857142857143	10.754285714285714	5	6	0	Day
2015-05-11 00:00:00	24.894285714285715	12.034285714285716	5	0	1	Day
2015-05-12 00:00:00	22.957142857142856	12.71857142857143	5	1	1	Day
2015-05-13 00:00:00	22.49142857142857	11.271428571428572	5	2	1	Day
2015-05-14 00:00:00	18.642857142857142	10.765714285714287	5	3	1	Holiday
2015-05-15 00:00:00	14.494285714285716	9.64857142857143	5	4	1	Day
2015-05-16 00:00:00	18.245714285714282	9.531428571428568	5	5	0	Day
2015-05-17 00:00:00	20.32	10.437142857142856	5	6	0	Day
2015-05-18 00:00:00	20.814285714285713	8.88	5	0	1	Day
2015-05-19 00:00:00	15.54	9.644285714285713	5	1	1	Day
2015-05-20 00:00:00	14.777142857142858	8.041428571428572	5	2	1	Day
2015-05-21 00:00:00	16.834285714285716	6.994285714285715	5	3	1	Day
2015-05-22 00:00:00	18.882857142857137	7.739999999999999	5	4	1	Day
2015-05-23 00:00:00	19.754285714285714	10.985714285714286	5	5	0	Day
2015-05-24 00:00:00	20.511428571428574	11.28857142857143	5	6	0	Day
2015-05-25 00:00:00	19.405714285714286	12.611428571428574	5	0	1	Holiday
2015-05-26 00:00:00	18.111428571428572	11.030000000000001	5	1	1	Day
