"Date"	"MaxTemperature	"MinTemperature	"Month"	"WeekDay"	"is_WeekDay"	"Holiday"	"Index"	"OddWeekday"	"OddHoliday"	"OddTemp"	"OddNeighbor"	"HD_predicted"	"nonWorkingDay"	"ToTag"
2013-03-30 00:00:00	7.87575	4.2543500000000005	3	5	0	Day	93	0	0	0	0	0	0	0
2013-03-31 00:00:00	8.26825	1.6627000000000005	3	6	0	Day	94	0	0	0	0	0	0	0
2013-04-01 00:00:00	9.829	1.0368500000000005	4	0	1	Holiday	95	0	0	0	0	0	0	0
2013-04-02 00:00:00	10.990600000000002	2.82395	4	1	1	Day	96	0	0	0	0	0	0	0
2013-04-03 00:00:00	10.59635	1.92595	4	2	1	Day	97	0	0	0	0	0	0	0
2013-04-04 00:00:00	8.966199999999997	3.0141500000000008	4	3	1	Day	98	0	0	0	0	0	0	0
2013-04-05 00:00:00	8.003300000000001	4.02275	4	4	1	Day	99	0	0	0	0	0	0	0
2013-04-06 00:00:00	7.81965	3.5767	4	5	0	Day	100	0	0	0	0	0	0	0
2013-04-07 00:00:00	10.678499999999998	2.7381	4	6	0	Day	101	0	0	0	0	0	0	0
2013-04-08 00:00:00	10.8012	4.7523	4	0	1	Day	102	0	0	0	0	0	0	0
2013-04-09 00:00:00	11.914599999999998	5.93945	4	1	1	Day	103	0	0	0	0	0	0	0
2013-04-10 00:00:00	13.6643	7.8180999999999985	4	2	1	Day	104	0	0	0	0	0	0	0
2013-04-11 00:00:00	14.23095	10.40085	4	3	1	Day	105	0	0	0	0	0	0	0
2013-04-12 00:00:00	14.37265	8.88575	4	4	1	Day	106	0	0	0	0	0	0	0
2013-04-13 00:00:00	16.219649999999998	7.4453	4	5	0	Day	107	0	0	0	0	0	0	0
2013-04-14 00:00:00	23.100850000000005	10.5953	4	6	0	Day	108	0	0	0	0	0	0	0
2013-04-15 00:00:00	19.6109	11.44165	4	0	1	Day	109	0	0	0	0	0	0	0
2013-04-16 00:00:00	19.262350000000005	10.90115	4	1	1	Day	110	0	0	0	0	0	0	0
2013-04-17 00:00:00	23.8904	10.8989	4	2	1	Day	111	0	0	0	0	0	0	0
2013-04-18 00:00:00	17.34665	10.908575	4	3	1	Day	112	0	0	0	0	0	0	0
2013-04-19 00:00:00	12.25665	7.901475	4	4	1	Day	113	0	0	0	0	0	0	0
2013-04-20 00:00:00	12.079350000000002	5.5359	4	5	0	Day	114	0	0	0	0	0	0	0
2013-04-21 00:00:00	14.16185	4.70015	4	6	0	Day	115	0	0	0	0	0	0	0
2013-04-22 00:00:00	14.504850000000005	6.09405	4	0	1	Day	116	0	0	0	0	0	0	0
2013-04-23 00:00:00	17.2307	7.061300000000001	4	1	1	Day	117	0	0	0	0	0	0	0
2013-04-24 00:00:00	21.729299999999995	7.57145	4	2	1	Day	118	0	0	0	0	0	0	0
2013-04-25 00:00:00	23.7384	10.04775	4	3	1	Day	119	0	0	0	0	0	0	0
2013-04-26 00:00:00	14.7756	8.765199999999998	4	4	1	Day	120	0	0	0	0	0	0	0
2013-04-27 00:00:00	9.650850000000002	5.885625000000001	4	5	0	Day	121	0	0	0	0	0	0	0
2013-04-28 00:00:00	10.76265	4.5493	4	6	0	Day	122	0	0	0	0	0	0	0
2013-04-29 00:00:00	13.20555	5.2026	4	0	1	Day	123	0	0	0	0	0	0	0
2013-04-30 00:00:00	13.82465	8.26445	4	1	1	Day	124	0	0	0	0	0	0	0
2013-05-01 00:00:00	14.73565	9.51565	5	2	1	Holiday	125	0	0	0	0	0	0	0
2013-05-02 00:00:00	16.349500000000006	8.7978	5	3	1	Day	126	0	0	0	0	0	0	0
2013-05-03 00:00:00	16.24625	9.3342	5	4	1	Day	127	0	0	0	0	0	0	0
2013-05-04 00:00:00	17.465500000000002	8.0829	5	5	0	Day	128	0	0	0	0	0	0	0
2013-05-05 00:00:00	18.7089	9.3722	5	6	0	Day	129	0	0	0	0	0	0	0
2013-05-06 00:00:00	20.03405	9.19495	5	0	1	Day	130	0	0	0	0	0	0	0
2013-05-07 00:00:00	20.5373	11.15065	5	1	1	Day	131	0	0	0	0	0	0	0
2013-05-08 00:00:00	19.221	12.106750000000002	5	2	1	Holiday	132	0	0	0	0	0	0	0
2013-05-09 00:00:00	16.94065	11.520600000000002	5	3	1	Holiday	133	0	0	0	0	0	0	0
2013-05-10 00:00:00	15.25955	9.94775	5	4	1	Day	134	0	0	0	0	0	0	0
2013-05-11 00:00:00	16.21115	9.83845	5	5	0	Day	135	0	0	0	0	0	0	0
2013-05-12 00:00:00	15.08935	8.86695	5	6	0	Day	136	0	0	0	0	0	0	0
2013-05-13 00:00:00	16.44885	10.02275	5	0	1	Day	137	0	0	0	0	0	0	0
2013-05-14 00:00:00	16.396650000000005	9.8288	5	1	1	Day	138	0	0	0	0	0	0	0
2013-05-15 00:00:00	14.18725	9.530300000000002	5	2	1	Day	139	0	0	0	0	0	0	0
2013-05-16 00:00:00	13.1344	8.01955	5	3	1	Day	140	0	0	0	0	0	0	0
2013-05-17 00:00:00	15.3549	6.7829000000000015	5	4	1	Day	141	0	0	0	0	0	0	0
2013-05-18 00:00:00	14.2564	8.107600000000001	5	5	0	Day	142	0	0	0	0	0	0	0
2013-05-19 00:00:00	13.8446	9.1098	5	6	0	Day	143	0	0	0	0	0	0	0
2013-05-20 00:00:00	13.1878	9.0623	5	0	1	Holiday	144	0	0	0	0	0	0	0
2013-05-21 00:00:00	13.745700000000005	9.9479	5	1	1	Day	145	0	0	0	0	0	0	0
2013-05-22 00:00:00	15.04005	9.8078	5	2	1	Day	146	0	0	0	0	0	0	0
2013-05-23 00:00:00	13.1099	7.00465	5	3	1	Day	147	0	0	0	0	0	0	0
2013-05-24 00:00:00	10.2176	5.424400000000001	5	4	1	Day	148	0	0	0	0	0	0	0
2013-05-25 00:00:00	13.0085	6.498550000000002	5	5	0	Day	149	0	0	0	0	0	0	0
2013-05-26 00:00:00	15.458799999999998	5.3630499999999985	5	6	0	Day	150	0	0	0	0	0	0	0
2013-05-27 00:00:00	18.16805	5.872000000000001	5	0	1	Day	151	0	0	0	0	0	0	0
2013-05-28 00:00:00	13.424250000000002	8.743850000000002	5	1	1	Day	152	0	0	0	0	0	0	0
2013-05-29 00:00:00	13.645699999999998	6.9894500000000015	5	2	1	Day	153	0	0	0	0	0	0	0
2013-05-30 00:00:00	14.1945	9.029800000000002	5	3	1	Day	154	0	0	0	0	0	0	0
2013-05-31 00:00:00	15.67955	10.33195	5	4	1	Day	155	0	0	0	0	0	0	0
2013-06-01 00:00:00	18.276200000000006	11.2976	6	5	0	Day	156	0	0	0	0	0	0	0
2013-06-02 00:00:00	18.06945	10.456450000000002	6	6	0	Day	157	0	0	0	0	0	0	0
2013-06-03 00:00:00	18.1463	9.3234	6	0	1	Day	158	0	0	0	0	0	0	0
2013-06-04 00:00:00	19.339250000000003	8.77415	6	1	1	Day	159	0	0	0	0	0	0	0
2013-06-05 00:00:00	23.14775	10.1371	6	2	1	Day	160	0	0	0	0	0	0	0
2013-06-06 00:00:00	25.30625	12.9676	6	3	1	Day	161	0	0	0	0	0	0	0
2013-06-07 00:00:00	25.7455	13.7726	6	4	1	Day	162	0	0	0	0	0	0	0
2013-06-08 00:00:00	21.3816	14.4397	6	5	0	Day	163	0	0	0	0	0	0	0
2013-06-09 00:00:00	16.857	12.92555	6	6	0	Day	164	0	0	0	0	0	0	0
2013-06-10 00:00:00	18.8147	12.194200000000002	6	0	1	Day	165	0	0	0	0	0	0	0
2013-06-11 00:00:00	20.5556	13.03005	6	1	1	Day	166	0	0	0	0	0	0	0
2013-06-12 00:00:00	22.71115	15.210050000000004	6	2	1	Day	167	0	0	0	0	0	0	0
