"Date"	"MaxTemperature	"MinTemperature	"Month"	"WeekDay"	"is_WeekDay"	"Holiday"	"Index"
2013-05-31 00:00:00	15.67955	10.33195	5	4	1	Day
2013-06-01 00:00:00	18.276200000000003	11.297600000000001	6	5	0	Day
2013-06-02 00:00:00	18.06945	10.456450000000002	6	6	0	Day
2013-06-03 00:00:00	18.1463	9.323400000000001	6	0	1	Day
2013-06-04 00:00:00	19.339250000000003	8.77415	6	1	1	Day
2013-06-05 00:00:00	23.147750000000002	10.1371	6	2	1	Day
2013-06-06 00:00:00	25.306250000000002	12.967600000000001	6	3	1	Day
2013-06-07 00:00:00	25.7455	13.7726	6	4	1	Day
2013-06-08 00:00:00	21.381600000000002	14.4397	6	5	0	Day
2013-06-09 00:00:00	16.857	12.925550000000001	6	6	0	Day
2013-06-10 00:00:00	18.814700000000002	12.194200000000002	6	0	1	Day
2013-06-11 00:00:00	20.555600000000002	13.03005	6	1	1	Day
2013-06-12 00:00:00	22.71115	15.210050000000004	6	2	1	Day
2013-06-13 00:00:00	18.98195	13.355599999999999	6	3	1	Day
2013-06-14 00:00:00	20.804599999999997	11.489350000000002	6	4	1	Day
2013-06-15 00:00:00	21.2566	13.518049999999999	6	5	0	Day
2013-06-16 00:00:00	24.659650000000003	12.614350000000002	6	6	0	Day
2013-06-17 00:00:00	25.81785	16.452700000000004	6	0	1	Day
2013-06-18 00:00:00	25.239350000000005	17.1832	6	1	1	Day
2013-06-19 00:00:00	23.93915	17.6953	6	2	1	Day
2013-06-20 00:00:00	20.554000000000002	15.2787	6	3	1	Day
2013-06-21 00:00:00	19.660500000000003	13.92955	6	4	1	Day
2013-06-22 00:00:00	19.994950000000003	14.521550000000001	6	5	0	Day
2013-06-23 00:00:00	18.37825	13.522175	6	6	0	Day
2013-06-24 00:00:00	17.493650000000002	11.96675	6	0	1	Day
2013-06-25 00:00:00	19.101300000000002	10.215699999999998	6	1	1	Day
2013-06-26 00:00:00	20.4339	10.02765	6	2	1	Day
2013-06-27 00:00:00	20.04115	11.633849999999999	6	3	1	Day
2013-06-28 00:00:00	18.48475	12.580750000000002	6	4	1	Day
2013-06-29 00:00:00	19.899700000000003	14.17025	6	5	0	Day
2013-06-30 00:00:00	23.3512	12.743599999999999	6	6	0	Day
2013-07-01 00:00:00	23.77865	13.140699999999999	7	0	1	Day
2013-07-02 00:00:00	24.400100000000002	13.690449999999998	7	1	1	Day
2013-07-03 00:00:00	19.939400000000003	16.040450000000003	7	2	1	Day
2013-07-04 00:00:00	21.701200000000004	14.859950000000001	7	3	1	Day
2013-07-05 00:00:00	25.16445	15.913599999999999	7	4	1	Day
2013-07-06 00:00:00	27.516750000000002	15.09795	7	5	0	Day
2013-07-07 00:00:00	28.5094	16.9942	7	6	0	Day
2013-07-08 00:00:00	28.39895	17.51005	7	0	1	Day
2013-07-09 00:00:00	28.1427	17.652900000000002	7	1	1	Day
2013-07-10 00:00:00	27.416849999999997	17.095650000000003	7	2	1	Day
2013-07-11 00:00:00	24.5824	15.561350000000001	7	3	1	Day
2013-07-12 00:00:00	25.992900000000002	14.0651	7	4	1	Day
2013-07-13 00:00:00	26.42745	15.20955	7	5	0	Day
2013-07-14 00:00:00	28.116500000000002	15.7773	7	6	0	Holiday
2013-07-15 00:00:00	28.66175	16.871299999999998	7	0	1	Day
2013-07-16 00:00:00	28.053900000000002	17.320700000000002	7	1	1	Day
2013-07-17 00:00:00	28.08495	17.736700000000003	7	2	1	Day
2013-07-18 00:00:00	27.392249999999997	17.85095	7	3	1	Day
2013-07-19 00:00:00	28.16235	17.9323	7	4	1	Day
2013-07-20 00:00:00	29.447200000000002	18.32495	7	5	0	Day
2013-07-21 00:00:00	31.7367	18.4326	7	6	0	Day
2013-07-22 00:00:00	31.876350000000002	19.87875	7	0	1	Day
2013-07-23 00:00:00	27.991	19.404549999999997	7	1	1	Day
2013-07-24 00:00:00	27.80295	18.25475	7	2	1	Day
2013-07-25 00:00:00	29.217249999999996	18.92445	7	3	1	Day
2013-07-26 00:00:00	29.26405	19.6971	7	4	1	Day
2013-07-27 00:00:00	29.32115	19.24365	7	5	0	Day
2013-07-28 00:00:00	24.736500000000003	18.378549999999997	7	6	0	Day
2013-07-29 00:00:00	23.8296	16.7588	7	0	1	Day
2013-07-30 00:00:00	24.17275	16.5869	7	1	1	Day
2013-07-31 00:00:00	28.5911	17.458550000000002	7	2	1	Day
2013-08-01 00:00:00	32.5225	18.3928	8	3	1	Day
2013-08-02 00:00:00	30.57245	19.860400000000002	8	4	1	Day
2013-08-03 00:00:00	25.819749999999996	18.37045	8	5	0	Day
2013-08-04 00:00:00	27.22295	16.91385	8	6	0	Day
2013-08-05 00:00:00	27.890250000000005	16.702199999999998	8	0	1	Day
2013-08-06 00:00:00	24.717150000000004	17.124750000000002	8	1	1	Day
2013-08-07 00:00:00	21.561500000000002	17.023474999999998	8	2	1	Day
2013-08-08 00:00:00	23.309050000000003	15.5558	8	3	1	Day
2013-08-09 00:00:00	23.989150000000002	15.498050000000001	8	4	1	Day
2013-08-10 00:00:00	23.88865	14.778	8	5	0	Day
2013-08-11 00:00:00	24.851000000000003	14.480200000000002	8	6	0	Day
2013-08-12 00:00:00	24.91545	15.2039	8	0	1	Day
2013-08-13 00:00:00	23.2037	13.95705	8	1	1	Day
2013-08-14 00:00:00	24.26705	12.91755	8	2	1	Day
2013-08-15 00:00:00	26.571	13.3051	8	3	1	Holiday
2013-08-16 00:00:00	27.242350000000002	14.535100000000002	8	4	1	Day
2013-08-17 00:00:00	26.699450000000002	16.14085	8	5	0	Day
2013-08-18 00:00:00	25.805550000000004	17.655450000000002	8	6	0	Day
2013-08-19 00:00:00	23.3264	16.593525	8	0	1	Day
2013-08-20 00:00:00	24.9513	12.81895	8	1	1	Day
2013-08-21 00:00:00	26.788100000000004	12.851	8	2	1	Day
